rank,dramas,votes,per,date,time
1,Sut Khaen Saen Ruk,995044,0.3836,2022-08-15,23:04
2,Love Destiny,456219,0.1759,2022-08-15,23:04
3,Plerng Boon,211118,0.0814,2022-08-15,23:04
4,4 Huajai Haeng Koon Kao,188168,0.0725,2022-08-15,23:04
5,Waves of Life,83796,0.0323,2022-08-15,23:04
6,Tarm Ruk Keun Jai,58617,0.0226,2022-08-15,23:04
7,Suparburoot Jutathep,58523,0.0226,2022-08-15,23:04
8,Game Sanaeha,50407,0.0194,2022-08-15,23:04
9,Tong Neu Gao,46389,0.0179,2022-08-15,23:04
10,Samee Tee Tra,43043,0.0166,2022-08-15,23:04
11,My Husband in-Law,42584,0.0164,2022-08-15,23:04
12,Thong Ek: The Herbal Master,41735,0.0161,2022-08-15,23:04
13,When A Man Loves A Woman,41730,0.0161,2022-08-15,23:04
14,Padiwarada,41374,0.0159,2022-08-15,23:04
15,Tra Barb See Chompoo,40589,0.0156,2022-08-15,23:04
16,Krong Karm,40287,0.0155,2022-08-15,23:04
17,Nakee,39332,0.0152,2022-08-15,23:04
18,Yah Leum Chan,38787,0.015,2022-08-15,23:04
19,Raeng Ngao,38475,0.0148,2022-08-15,23:04
20,Sawan Biang,38058,0.0146,2022-08-15,23:04
