rank,dramas,votes,per,date,time
1,Sut Khaen Saen Ruk,740798,0.32,2022-08-13,18:00
2,Love Destiny,455013,0.1965,2022-08-13,18:00
3,Plerng Boon,191970,0.0829,2022-08-13,18:00
4,4 Huajai Haeng Koon Kao,186709,0.0806,2022-08-13,18:00
5,Waves of Life,83367,0.036,2022-08-13,18:00
6,Tarm Ruk Keun Jai,57840,0.025,2022-08-13,18:00
7,Suparburoot Jutathep,57540,0.0249,2022-08-13,18:00
8,Game Sanaeha,50300,0.0217,2022-08-13,18:00
9,Tong Neu Gao,46379,0.02,2022-08-13,18:00
10,Samee Tee Tra,42863,0.0185,2022-08-13,18:00
11,My Husband in-Law,42262,0.0183,2022-08-13,18:00
12,Thong Ek: The Herbal Master,41727,0.018,2022-08-13,18:00
13,When A Man Loves A Woman,41722,0.018,2022-08-13,18:00
14,Padiwarada,41339,0.0179,2022-08-13,18:00
15,Tra Barb See Chompoo,40582,0.0175,2022-08-13,18:00
16,Krong Karm,40277,0.0174,2022-08-13,18:00
17,Nakee,39250,0.017,2022-08-13,18:00
18,Yah Leum Chan,38785,0.0168,2022-08-13,18:00
19,Raeng Ngao,38462,0.0166,2022-08-13,18:00
20,Sawan Biang,38015,0.0164,2022-08-13,18:00
