rank,dramas,votes,per,date,time
1,Sut Khaen Saen Ruk,994141,0.3835,2022-08-14,08:59
2,Love Destiny,456060,0.1759,2022-08-14,08:59
3,Plerng Boon,211117,0.0814,2022-08-14,08:59
4,4 Huajai Haeng Koon Kao,187773,0.0724,2022-08-14,08:59
5,Waves of Life,83783,0.0323,2022-08-14,08:59
6,Tarm Ruk Keun Jai,58566,0.0226,2022-08-14,08:59
7,Suparburoot Jutathep,58514,0.0226,2022-08-14,08:59
8,Game Sanaeha,50375,0.0194,2022-08-14,08:59
9,Tong Neu Gao,46389,0.0179,2022-08-14,08:59
10,Samee Tee Tra,43004,0.0166,2022-08-14,08:59
11,My Husband in-Law,42578,0.0164,2022-08-14,08:59
12,When A Man Loves A Woman,41729,0.0161,2022-08-14,08:59
13,Thong Ek: The Herbal Master,41728,0.0161,2022-08-14,08:59
14,Padiwarada,41367,0.016,2022-08-14,08:59
15,Tra Barb See Chompoo,40586,0.0157,2022-08-14,08:59
16,Krong Karm,40283,0.0155,2022-08-14,08:59
17,Nakee,39314,0.0152,2022-08-14,08:59
18,Yah Leum Chan,38786,0.015,2022-08-14,08:59
19,Raeng Ngao,38474,0.0148,2022-08-14,08:59
20,Sawan Biang,38054,0.0146,2022-08-14,08:59
