rank,dramas,votes,per,date,time
1,Sut Khaen Saen Ruk,703398,0.3092,2022-08-13,17:08
2,Love Destiny,454827,0.1999,2022-08-13,17:08
3,Plerng Boon,189959,0.0835,2022-08-13,17:08
4,4 Huajai Haeng Koon Kao,186708,0.0821,2022-08-13,17:08
5,Waves of Life,83358,0.0366,2022-08-13,17:08
6,Tarm Ruk Keun Jai,57828,0.0254,2022-08-13,17:08
7,Suparburoot Jutathep,57370,0.0252,2022-08-13,17:08
8,Game Sanaeha,50298,0.0221,2022-08-13,17:08
9,Tong Neu Gao,46376,0.0204,2022-08-13,17:08
10,Samee Tee Tra,42754,0.0188,2022-08-13,17:08
11,My Husband in-Law,42202,0.0185,2022-08-13,17:08
12,Thong Ek: The Herbal Master,41726,0.0183,2022-08-13,17:08
13,When A Man Loves A Woman,41716,0.0183,2022-08-13,17:08
14,Padiwarada,41323,0.0182,2022-08-13,17:08
15,Tra Barb See Chompoo,40578,0.0178,2022-08-13,17:08
16,Krong Karm,40267,0.0177,2022-08-13,17:08
17,Nakee,39236,0.0172,2022-08-13,17:08
18,Yah Leum Chan,38783,0.017,2022-08-13,17:08
19,Raeng Ngao,38461,0.0169,2022-08-13,17:08
20,Sawan Biang,38012,0.0167,2022-08-13,17:08
