rank,dramas,votes,per,date,time
1,Sut Khaen Saen Ruk,695144,0.3067,2022-08-13,16:55
2,Love Destiny,454807,0.2007,2022-08-13,16:55
3,Plerng Boon,189474,0.0836,2022-08-13,16:55
4,4 Huajai Haeng Koon Kao,186708,0.0824,2022-08-13,16:55
5,Waves of Life,83355,0.0368,2022-08-13,16:55
6,Tarm Ruk Keun Jai,57828,0.0255,2022-08-13,16:55
7,Suparburoot Jutathep,57327,0.0253,2022-08-13,16:55
8,Game Sanaeha,50298,0.0222,2022-08-13,16:55
9,Tong Neu Gao,46376,0.0205,2022-08-13,16:55
10,Samee Tee Tra,42743,0.0189,2022-08-13,16:55
11,My Husband in-Law,42176,0.0186,2022-08-13,16:55
12,Thong Ek: The Herbal Master,41726,0.0184,2022-08-13,16:55
13,When A Man Loves A Woman,41715,0.0184,2022-08-13,16:55
14,Padiwarada,41320,0.0182,2022-08-13,16:55
15,Tra Barb See Chompoo,40572,0.0179,2022-08-13,16:55
16,Krong Karm,40265,0.0178,2022-08-13,16:55
17,Nakee,39233,0.0173,2022-08-13,16:55
18,Yah Leum Chan,38783,0.0171,2022-08-13,16:55
19,Raeng Ngao,38461,0.017,2022-08-13,16:55
20,Sawan Biang,38012,0.0167,2022-08-13,16:55
