rank,dramas,votes,per,date,time
1,Sut Khaen Saen Ruk,692617,0.306,2022-08-13,16:51
2,Love Destiny,454806,0.2009,2022-08-13,16:51
3,Plerng Boon,189324,0.0836,2022-08-13,16:51
4,4 Huajai Haeng Koon Kao,186708,0.0825,2022-08-13,16:51
5,Waves of Life,83355,0.0368,2022-08-13,16:51
6,Tarm Ruk Keun Jai,57828,0.0255,2022-08-13,16:51
7,Suparburoot Jutathep,57302,0.0253,2022-08-13,16:51
8,Game Sanaeha,50297,0.0222,2022-08-13,16:51
9,Tong Neu Gao,46376,0.0205,2022-08-13,16:51
10,Samee Tee Tra,42743,0.0189,2022-08-13,16:51
11,My Husband in-Law,42176,0.0186,2022-08-13,16:51
12,Thong Ek: The Herbal Master,41726,0.0184,2022-08-13,16:51
13,When A Man Loves A Woman,41712,0.0184,2022-08-13,16:51
14,Padiwarada,41317,0.0183,2022-08-13,16:51
15,Tra Barb See Chompoo,40572,0.0179,2022-08-13,16:51
16,Krong Karm,40265,0.0178,2022-08-13,16:51
17,Nakee,39233,0.0173,2022-08-13,16:51
18,Yah Leum Chan,38783,0.0171,2022-08-13,16:51
19,Raeng Ngao,38461,0.017,2022-08-13,16:51
20,Sawan Biang,38012,0.0168,2022-08-13,16:51
